Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"45.5898, -122.5951",06/02/2020 21:00:00,62.1,62.1,62.1,,,0,0,0,6.9,330,,9.9,51.9,51.42,Partially cloudy
"45.5898, -122.5951",06/02/2020 22:00:00,61.1,61.1,61.1,,,0,0,0,12.5,320,,9.9,26.7,57.65,Partially cloudy
"45.5898, -122.5951",06/02/2020 23:00:00,61,61,61,,,0,0,0,7.9,299,,9.9,48,59.89,Partially cloudy
"45.5898, -122.5951",06/03/2020 00:00:00,57.8,57.8,57.8,,,0,0,0,5.7,310,,9.9,47.8,69.39,Partially cloudy
"45.5898, -122.5951",06/03/2020 01:00:00,57.8,57.8,57.8,,,0,0,0,3.4,323,,9.9,26.1,69.42,Partially cloudy
"45.5898, -122.5951",06/03/2020 02:00:00,56,56,56,,,0,0,0,6.9,320,,9.9,26.1,71.63,Partially cloudy
"45.5898, -122.5951",06/03/2020 03:00:00,54,54,54,,,0,0,0,4.6,339,,9.9,0,77.06,Clear
"45.5898, -122.5951",06/03/2020 04:00:00,54,54,54,,,0,0,0,5.9,330,17.2,9.9,84.8,77.06,Overcast
"45.5898, -122.5951",06/03/2020 05:00:00,55.1,55.1,55.1,,,0,0,0,6.9,320,,9.9,84.8,74.03,Overcast
"45.5898, -122.5951",06/03/2020 06:00:00,55.1,55.1,55.1,,,0,0,0,6.8,320,,9.9,52.9,74.01,Partially cloudy
"45.5898, -122.5951",06/03/2020 07:00:00,55.1,55.1,55.1,,,0,0,0,3.4,339,,9.9,52.9,74.03,Partially cloudy
"45.5898, -122.5951",06/03/2020 08:00:00,57,57,57,,,0,0,0,6,348,,9.9,69.2,71.63,Partially cloudy
"45.5898, -122.5951",06/03/2020 09:00:00,57.9,57.9,57.9,,,0,0,0,12.5,322,,9.9,88.8,69.3,Overcast
"45.5898, -122.5951",06/03/2020 10:00:00,60.1,60.1,60.1,,,0,0,0,11.4,320,17.2,9.9,89.5,63.97,Overcast
"45.5898, -122.5951",06/03/2020 11:00:00,62,62,62,,,0,0,0,8.1,347,,9.9,56.7,59.8,Partially cloudy
"45.5898, -122.5951",06/03/2020 12:00:00,64.1,64.1,64.1,,,0,0,0,8,331,,9.9,52.9,55.63,Partially cloudy
"45.5898, -122.5951",06/03/2020 13:00:00,65.9,65.9,65.9,,,0,0,0,9,320,,9.9,52.9,52.17,Partially cloudy
"45.5898, -122.5951",06/03/2020 14:00:00,66.9,66.9,66.9,,,0,0,0,6.9,310,,9.9,52.9,48.77,Partially cloudy
"45.5898, -122.5951",06/03/2020 15:00:00,70.1,70.1,70.1,,,0,0,0,9,280,,9.9,26.1,42.4,Partially cloudy
"45.5898, -122.5951",06/03/2020 16:00:00,71.9,71.9,71.9,,,0,0,0,10.1,270,,9.9,26.1,39.84,Partially cloudy
"45.5898, -122.5951",06/03/2020 17:00:00,73.1,73.1,73.1,,,0,0,0,10,290,,9.9,26.1,38.16,Partially cloudy
"45.5898, -122.5951",06/03/2020 18:00:00,71.2,71.2,71.2,,,0,0,0,6.9,330,,9.9,26.1,41.96,Partially cloudy
"45.5898, -122.5951",06/03/2020 19:00:00,71.9,71.9,71.9,,,0,0,0,11.3,340,19.6,9.9,35,38,Partially cloudy
"45.5898, -122.5951",06/03/2020 20:00:00,68,68,68,,,0,0,0,11.2,330,19.7,9.9,52.9,50.01,Partially cloudy
"45.5898, -122.5951",06/03/2020 21:00:00,64.2,64.2,64.2,,,0,0,0,9.1,330,18.3,9.9,26.1,53.62,Partially cloudy
"45.5898, -122.5951",06/03/2020 22:00:00,61.1,61.1,61.1,,,0,0,0,8,329,16.1,9.9,47.7,59.7,Partially cloudy
"45.5898, -122.5951",06/03/2020 23:00:00,57.9,57.9,57.9,,,0,0,0,6.9,339,,9.9,49.7,64.68,Partially cloudy
"45.5898, -122.5951",06/04/2020 00:00:00,57,57,57,,,0,0,0,11.2,312,,9.9,89.1,61.85,Overcast
"45.5898, -122.5951",06/04/2020 01:00:00,56.1,56.1,56.1,,,0,0,0,6.9,310,,9.9,89.1,66.14,Overcast
"45.5898, -122.5951",06/04/2020 02:00:00,56.1,56.1,56.1,,,0,0,0,4.8,320,,9.9,89.5,66.16,Overcast
"45.5898, -122.5951",06/04/2020 03:00:00,56.1,56.1,56.1,,,0,0,0,0,0,,9.9,89.5,66.16,Overcast
"45.5898, -122.5951",06/04/2020 04:00:00,56,56,56,,,0,0,0,4.6,20,,9.9,93.6,66.29,Overcast
"45.5898, -122.5951",06/04/2020 05:00:00,55.1,55.1,55.1,,,0,0,0,0,1,,9.9,73.6,68.5,Partially cloudy
"45.5898, -122.5951",06/04/2020 06:00:00,53.9,53.9,53.9,,,0,0,0,3.4,9,,9.9,67.6,71.54,Partially cloudy
"45.5898, -122.5951",06/04/2020 07:00:00,54,54,54,,,0,0,0,4.5,311,,9.9,89.5,71.41,Overcast
"45.5898, -122.5951",06/04/2020 08:00:00,56,56,56,,,0,0,0,3.3,350,,9.9,89.5,64.12,Overcast
"45.5898, -122.5951",06/04/2020 09:00:00,57.8,57.8,57.8,,,0,0,0,5.7,328,,9.9,57.6,62.16,Partially cloudy
"45.5898, -122.5951",06/04/2020 10:00:00,60.2,60.2,60.2,,,0,0,0,6,291,19.7,9.9,57.6,57.2,Partially cloudy
"45.5898, -122.5951",06/04/2020 11:00:00,62.1,62.1,62.1,,,0,0,0,7.9,310,,9.9,55,53.52,Partially cloudy
